Model,Features,Num Features,CV_AUC
Random Forest,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",5,0.9947734374999999
Random Forest,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation', 'nose_normalization_factor')",4,0.99471875
Random Forest,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation', 'nose_normalization_factor')",4,0.99460546875
Random Forest,"('intershoulder_distance', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",5,0.994515625
Random Forest,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation', 'nose_normalization_factor')",5,0.99442578125
Random Forest,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",6,0.9941640625000001
Random Forest,"('necklength_y', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.9940820312499999
Random Forest,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'normalization_factor_distance', 'nose_normalization_factor')",5,0.99402734375
Random Forest,"('necklength_y', 'slouchangle', 'angle_of_rotation', 'nose_normalization_factor')",4,0.9940078124999999
Random Forest,"('necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",5,0.9940039062499999
Random Forest,"('necklength_y', 'angle_of_rotation', 'nose_normalization_factor')",3,0.9935468749999998
XGBoost,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",5,0.993375
Random Forest,"('intershoulder_distance', 'necklength_y', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.9932226562500001
XGBoost,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",6,0.993203125
XGBoost,"('intershoulder_distance', 'necklength_y', 'angle_of_rotation', 'nose_normalization_factor')",4,0.9930703125000001
XGBoost,"('necklength_y', 'slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",5,0.99296484375
Random Forest,"('slouchangle', 'angle_of_rotation', 'nose_normalization_factor')",3,0.9929335937499999
XGBoost,"('necklength_y', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.99287109375
XGBoost,"('intershoulder_distance', 'necklength_y', 'slouchangle', 'angle_of_rotation', 'nose_normalization_factor')",5,0.9925234375
Random Forest,"('slouchangle', 'angle_of_rotation', 'normalization_factor_distance', 'nose_normalization_factor')",4,0.99251171875
XGBoost,"('necklength_y', 'angle_of_rotation', 'nose_normalization_factor')",3,0.9924999999999999
Random Forest,"('necklength_y', 'normalization_factor_distance', 'nose_normalization_factor')",3,0.9923554687499999
